LLAVEHOG,ORDEN,AÑOS_CUMPLIDOS,HIJOS,CANT_PERSONAS,VIVE_PADRES,NIVEL_EDUCACION_MADRE,AFILIADO_SS,ESTADO_SALUD,DISCAPACIDAD,LEER_ESCRIBIR,NIVEL_EDUCATIVO,SALARIO,ACTIVIDAD,TELEFONO,TIPO_VIVIENDA,SUBSIDIO,SEGURIDAD,CONDICIONES_VIDA,POBRE,INGRESO_HOGAR,COMIDA,AGUA_ALIMENTOS,AGUA24H,VIVIENDA,SATISFACCCION_INGRESO,SATISFACCION_SALUD,SATISFACCION_SEGURIDAD,SATISFACCION_TRABAJO,SATISFACCION_VIDA
60021721,1,38,1,2,4,2,1,2,NO,1,,800000,1,1,1,NO,1,2,2,2,1,1,1,3,9,8,8,9,7
60021851,3,26,1,4,3,,1,1,NO,1,,,1,1,1,NO,1,3,2,2,2,1,1,1,5,10,8,5,8
60021881,2,66,1,3,2,,1,2,SI,1,,,5,2,1,SI,2,2,2,1,2,1,1,4,4,4,5,0,6
60021901,1,59,1,2,4,10,1,2,NO,1,,,4,1,2,NO,1,2,2,2,1,1,1,3,4,8,9,5,10
60022031,1,24,1,2,4,2,1,2,NO,1,,500000,1,1,2,NO,1,2,2,1,2,1,1,3,3,9,8,8,8
60022571,1,58,1,4,4,2,1,1,NO,1,,,6,1,2,NO,1,1,2,3,2,1,1,1,10,10,7,10,10
60022571,2,39,2,4,2,,1,1,NO,1,,,1,1,2,NO,1,1,2,3,2,1,1,1,10,10,0,10,10
60022761,1,50,3,6,4,1,1,4,NO,1,,,6,1,1,SI,2,3,1,1,1,1,1,3,0,4,2,5,8
60022781,1,35,2,3,4,3,1,1,NO,1,,400000,1,1,1,SI,1,2,2,2,2,1,1,3,5,10,9,8,5
60022911,2,46,1,3,2,,1,2,NO,1,,150000,1,1,1,NO,1,2,2,2,2,1,1,1,10,7,10,9,10
60023181,1,69,1,5,4,1,1,3,NO,1,,,4,1,2,NO,1,3,1,1,2,1,1,3,4,5,3,4,9
60023181,2,33,1,5,2,,1,2,NO,1,,,1,1,2,NO,1,3,1,1,2,1,1,3,5,5,2,5,5
60023281,1,52,1,2,4,9,1,3,NO,1,,900000,1,1,1,NO,1,3,1,2,2,1,1,1,5,5,7,7,10
60023321,5,24,1,6,2,,1,3,NO,1,,400000,1,1,2,NO,1,3,2,2,2,1,1,3,5,9,3,4,10
60023421,6,14,2,8,2,,1,2,NO,1,,,4,2,1,NO,1,3,2,1,2,1,1,1,,,,,
60023551,3,43,2,5,3,,1,2,NO,1,,,4,1,1,SI,1,2,1,1,2,2,1,1,7,7,7,7,10
60023841,5,20,1,6,2,,1,2,NO,1,,,4,2,1,SI,1,2,2,1,2,1,1,1,6,4,7,4,8
60024071,4,19,1,5,4,3,1,2,NO,1,,,4,1,1,NO,1,3,2,1,2,1,1,1,1,10,6,2,5
60024611,9,17,1,10,4,2,1,2,NO,1,,,4,1,2,NO,1,2,2,3,2,1,1,3,9,9,9,9,9
60024901,1,59,2,3,4,10,1,2,NO,1,,,4,1,1,NO,1,2,2,3,2,1,1,3,9,9,9,6,8
60025191,1,28,1,2,4,7,1,2,NO,1,,737717,1,2,1,SI,1,3,1,1,2,5,,4,3,8,7,8,9
60025261,4,20,1,5,4,4,1,2,NO,1,,600000,1,1,1,NO,1,2,1,2,2,1,2,1,6,8,10,7,10
60025321,4,35,1,5,2,,1,2,NO,1,,737717,1,1,1,NO,1,3,1,1,2,1,2,4,8,8,8,8,10
60025371,2,25,1,3,2,,1,2,NO,1,,,4,1,1,SI,1,2,2,2,2,1,2,1,9,8,8,4,10
60025391,4,22,1,5,2,,1,2,NO,1,,,3,1,1,NO,1,2,2,2,2,1,2,1,9,8,8,8,10
60025411,4,25,1,9,2,,1,2,NO,1,,737000,1,1,1,SI,1,2,1,2,2,1,2,1,6,10,10,9,10
60025411,6,24,1,9,2,,1,2,NO,1,,,4,1,1,SI,1,2,1,2,2,1,2,1,4,10,7,0,10
60025521,1,31,1,2,4,3,1,2,NO,1,,737000,1,1,1,NO,1,2,1,2,2,1,2,3,5,10,10,5,9
60025571,1,41,2,3,4,10,1,3,NO,2,,,4,1,1,SI,1,1,1,1,1,9,,1,5,7,8,9,10
60025572,1,33,4,5,4,9,1,1,NO,1,,,1,1,1,NO,1,3,2,1,2,9,,4,8,6,5,4,3
60025581,1,26,1,2,4,4,1,2,NO,1,,,4,1,1,NO,1,3,1,1,2,1,2,3,0,7,6,2,6
60025621,2,39,2,5,2,,1,1,NO,1,,,1,1,1,SI,2,1,2,1,2,7,,1,0,5,6,3,10
60025931,1,46,2,3,4,1,1,3,NO,1,,,1,1,1,SI,1,2,2,1,2,1,1,1,8,8,8,8,8
60026061,1,31,1,2,4,2,1,3,NO,1,,240000,6,1,1,SI,1,2,1,2,2,1,1,3,3,8,7,4,10
60026311,1,30,4,5,4,1,1,3,NO,1,,,4,1,1,SI,1,3,2,1,2,1,1,3,0,4,9,9,8
60026341,3,72,1,3,4,2,1,2,NO,1,,,4,1,2,SI,1,2,2,3,2,1,1,2,4,8,8,8,8
60026351,1,55,2,5,4,1,1,3,NO,1,,100000,1,1,2,SI,1,3,1,1,2,1,1,3,4,6,8,7,10
60026351,3,39,2,5,2,,1,1,NO,1,,,1,1,2,SI,1,3,1,1,2,1,1,3,9,10,8,2,10
60026391,1,31,1,2,4,10,1,2,NO,1,,,1,1,2,SI,1,2,2,2,2,1,1,3,8,10,8,8,10
60026411,1,40,3,4,4,2,1,2,NO,1,,737717,1,1,1,SI,1,2,2,1,2,1,1,1,8,8,2,9,10
60026451,1,65,1,2,4,10,1,2,NO,1,,,4,2,2,NO,1,1,2,2,2,1,1,1,10,10,9,8,10
60026481,1,46,1,2,4,2,1,3,NO,1,,,4,1,2,NO,1,2,2,2,2,1,1,1,8,8,8,5,10
60026551,1,69,1,4,4,1,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,1,1,5,5,7,6,10
60026551,3,76,1,4,4,1,1,2,NO,2,,,4,1,1,NO,1,2,2,2,2,1,1,1,9,8,8,9,9
60026601,2,53,2,6,2,,1,2,NO,1,,,4,1,1,NO,1,2,2,2,2,1,1,1,9,7,8,7,9
60026601,3,34,1,6,2,,1,1,NO,1,,,1,1,1,NO,1,2,2,2,2,1,1,1,9,10,7,10,9
60026691,1,60,1,3,4,1,1,2,NO,1,,,4,1,1,NO,2,3,2,2,2,1,1,1,9,7,5,8,8
60026691,2,35,1,3,2,,1,1,NO,1,,780000,1,1,1,NO,2,3,2,2,2,1,1,1,4,10,8,6,10
60026921,2,25,1,3,4,1,1,2,NO,1,,800000,1,1,2,SI,1,3,1,2,2,1,1,1,5,10,9,8,10
60026931,1,43,1,3,4,1,1,2,NO,1,,,4,1,2,NO,1,2,2,2,2,1,1,3,1,6,8,0,10
60027001,3,28,1,4,3,,1,3,NO,1,,400000,1,1,1,NO,1,2,2,2,2,1,1,1,7,9,1,6,10
60027071,2,69,1,3,4,1,1,2,NO,1,,,4,1,1,SI,1,2,2,2,2,1,1,1,5,6,8,6,7
60027141,1,43,1,2,4,4,1,2,NO,1,,903000,1,1,2,NO,1,2,2,2,2,1,1,3,7,6,7,7,10
60027261,2,43,2,4,2,,1,3,NO,1,,,4,2,1,NO,1,4,1,1,1,1,1,1,3,7,6,1,8
